,id,name,id_post,created_time,updated_time,message,type,picture,source,like,love,haha,wow,sad,angry,total_reactions,total_shares,total_comments,video_length
16,101084031778928,Biết thế éo đi làm,101084031778928_913229430809365,2023-11-15T11:39:15+0000,2023-11-18T02:24:50+0000,"""Dạo này tình hình công ty kh.ó khăn, nên...""
Tôi:",photo,https://scontent.fhan4-3.fna.fbcdn.net/v/t39.30808-6/399639563_913229384142703_8426004966814070850_n.jpg?stp=dst-jpg_p130x130&_nc_cat=103&ccb=1-7&_nc_sid=5f2048&_nc_ohc=aMJZH69v8K4AX_WyRvX&_nc_ad=z-m&_nc_cid=0&_nc_ht=scontent.fhan4-3.fna&cb_e2o_trans=t&oh=00_AfCm3KNcVutec--Vf4UfBsL4_8Z6mFhUJ6000llFg-omTQ&oe=655DAB91,,2598,10,3552,3,41,0,6204,217,415,0
17,101084031778928,Biết thế éo đi làm,101084031778928_913127260819582,2023-11-15T08:33:54+0000,2023-11-18T04:18:45+0000,"1 ngày đi làm không n.ói x.ấu, không p.hán x.ét ai, là một ngày đi làm vô nghĩa",status,,,1600,4,1191,3,18,0,2816,59,374,0
18,101084031778928,Biết thế éo đi làm,101084031778928_913094017489573,2023-11-15T07:14:52+0000,2023-11-18T02:06:21+0000,Đây là tôi đang oằn ra đường chống chọi với cái rét để kiếm đồng lương 5 triệu,photo,https://scontent.fhan3-2.fna.fbcdn.net/v/t39.30808-6/400832707_913093994156242_5429942372684752311_n.jpg?stp=dst-jpg_p130x130&_nc_cat=107&ccb=1-7&_nc_sid=5f2048&_nc_ohc=Bgod9tlay2gAX9ZNdQY&_nc_ad=z-m&_nc_cid=0&_nc_ht=scontent.fhan3-2.fna&cb_e2o_trans=t&oh=00_AfCrcOUR4Ilf1L90MJQhLz_aHyB9pGgACBuijHVfNQOmLQ&oe=655CF456,,2433,13,1379,1,160,1,3987,215,207,0
19,101084031778928,Biết thế éo đi làm,101084031778928_913044904161151,2023-11-15T05:18:17+0000,2023-11-18T04:25:31+0000,Bữa cơm gia đình của 1 công ty nào đó,photo,https://scontent.fhan4-2.fna.fbcdn.net/v/t39.30808-6/401564386_913044877494487_6169630293545572383_n.jpg?stp=cp1_dst-jpg_p130x130&_nc_cat=111&ccb=1-7&_nc_sid=5f2048&_nc_ohc=PniVukvUY9cAX8JCkEe&_nc_ad=z-m&_nc_cid=0&_nc_ht=scontent.fhan4-2.fna&cb_e2o_trans=t&oh=00_AfA3xBNAC1Yfi--WEyw__cobQUpKUHV46gvFJFSh79A7fA&oe=655C7225,,4504,60,3555,4,12,0,8135,54,347,0
20,101084031778928,Biết thế éo đi làm,101084031778928_913004100831898,2023-11-15T03:36:36+0000,2023-11-18T04:29:36+0000,Ước được như cô ấy,photo,https://scontent.fhan3-5.fna.fbcdn.net/v/t39.30808-6/401540193_913004074165234_6879903798871393201_n.jpg?stp=dst-jpg_p130x130&_nc_cat=110&ccb=1-7&_nc_sid=5f2048&_nc_ohc=3931lLzzZpgAX-Uk21Q&_nc_ad=z-m&_nc_cid=0&_nc_ht=scontent.fhan3-5.fna&cb_e2o_trans=t&oh=00_AfArFfaZHyJKWQHH1mTt2Rs1YqDelMqPUJBu7Mht3Jm2mQ&oe=655CCAA0,,2583,16,3363,11,61,1,6035,58,182,0
21,101084031778928,Biết thế éo đi làm,101084031778928_912973280834980,2023-11-15T02:07:37+0000,2023-11-18T03:11:20+0000,Đang định làm qua tết thì nghỉ việc mà xong cái bị đ.uổi trước tết :))),photo,https://scontent.fhan3-3.fna.fbcdn.net/v/t39.30808-6/399615414_912973260834982_1964957034009183032_n.jpg?stp=dst-jpg_p130x130&_nc_cat=101&ccb=1-7&_nc_sid=5f2048&_nc_ohc=uHwLLB1ds58AX_RaeLe&_nc_ad=z-m&_nc_cid=0&_nc_ht=scontent.fhan3-3.fna&cb_e2o_trans=t&oh=00_AfByNj_KN-bLUq9Ufn3YPSr99462LXEBBL8HOYWTbHUGsw&oe=655CF9FC,,2033,8,1888,1,283,0,4213,86,286,0
22,101084031778928,Biết thế éo đi làm,101084031778928_912615960870712,2023-11-14T12:48:36+0000,2023-11-15T12:01:29+0000,Tự nhiên nhận ra người lương 5tr như mình k nên thích trời lạnh. Lương cao có thể nghỉ vì lạnh quá còn mình nghỉ thì chỉ có...,status,,,978,2,406,0,32,0,1418,27,64,0
23,101084031778928,Biết thế éo đi làm,101084031778928_912535424212099,2023-11-14T10:07:30+0000,2023-11-16T07:03:25+0000,Bệnh nhân ấy lương 5 triệu nhưng vẫn lạc quan yêu đời 🤭,photo,https://scontent.fhan3-5.fna.fbcdn.net/v/t39.30808-6/401675615_912537607545214_6046891496945783412_n.jpg?stp=dst-jpg_p130x130&_nc_cat=110&ccb=1-7&_nc_sid=5f2048&_nc_ohc=Ne9Ha2uRLKYAX81FRFs&_nc_ad=z-m&_nc_cid=0&_nc_ht=scontent.fhan3-5.fna&cb_e2o_trans=t&oh=00_AfAmbktYBEDAtgQXYu4WhKLCSTrIS1ul5u96O0Gt4lTl8w&oe=655C8BED,,2744,55,1004,1,31,0,3835,15,79,0
24,101084031778928,Biết thế éo đi làm,101084031778928_912486440883664,2023-11-14T08:15:13+0000,2023-11-16T05:52:23+0000,Ủa sếp kì vậy 🙄,photo,https://scontent.fhan4-3.fna.fbcdn.net/v/t39.30808-6/399637523_912486410883667_6535822933697450708_n.jpg?stp=cp1_dst-jpg_p130x130&_nc_cat=103&ccb=1-7&_nc_sid=5f2048&_nc_ohc=eAe0D4jomI0AX9ZByIy&_nc_ad=z-m&_nc_cid=0&_nc_ht=scontent.fhan4-3.fna&cb_e2o_trans=t&oh=00_AfCi4NJCD9aA348EzakNgsUeSVD_RjrOUXDgHwRtqlWRjQ&oe=655C4F9E,,739,3,616,0,10,0,1368,9,20,0
25,101084031778928,Biết thế éo đi làm,101084031778928_912463970885911,2023-11-14T07:09:23+0000,2023-11-18T04:28:55+0000,"Phương châm sống làm việc: L.ử.a thử vàng, gian nan thì nghỉ",status,,,3864,44,4578,7,102,1,8596,469,759,0
